"year","director","movie"
"1955","Marty","Delbert Mann"
"1956","Giant","George Stevens"
"1957","The Bridge on the River Kwai","David Lean"
"1958","Gigi","Vincente Minnelli"
"1959","Ben-Hur","William Wyler"
"1960","The Apartment","Billy Wilder"
"1961","West Side Story","Robert Wise and Jerome Robbins"
"1962","Lawrence of Arabia","David Lean"
"1963","Tom Jones","Tony Richardson"
"1964","My Fair Lady","George Cukor"
"1965","The Sound of Music","Robert Wise"
"1966","A Man for All Seasons","Fred Zinnemann"
"1967","The Graduate","Mike Nichols"
"1968","Oliver!","Carol Reed"
"1969","Midnight Cowboy","John Schlesinger"
"1970","Patton","Franklin J. Schaffner"
"1971","The French Connection","William Friedkin"
"1972","Cabaret","Bob Fosse"
"1973","The Sting","George Roy Hill"
"1974","The Godfather Part II","Francis Ford Coppola"
"1975","One Flew over the Cuckoo's Nest","Milos Forman"
"1976","Rocky","John G. Avildsen"
"1977","Annie Hall","Woody Allen"
"1978","The Deer Hunter","Michael Cimino"
"1979","Kramer vs. Kramer","Robert Benton"
"1980","Ordinary People","Robert Redford"
"1981","Reds","Warren Beatty"
"1982","Gandhi","Richard Attenborough"
"1983","Terms of Endearment","James L. Brooks"
"1984","Amadeus","Milos Forman"
"1985","Out of Africa","Sydney Pollack"
"1986","Platoon","Oliver Stone"
"1987","The Last Emperor","Bernardo Bertolucci"
"1988","Rain Man","Barry Levinson"
"1989","Born on the Fourth of July","Oliver Stone"
"1990","Dances With Wolves","Kevin Costner"
"1991","The Silence of the Lambs","Jonathan Demme"
"1992","Unforgiven","Clint Eastwood"
"1993","Schindler's List","Steven Spielberg"
"1994","Forrest Gump","Robert Zemeckis"
"1995","Braveheart","Mel Gibson"
"1996","The English Patient","Anthony Minghella"
"1997","Titanic","James Cameron"
"1998","Saving Private Ryan","Steven Spielberg"
"1999","American Beauty","Sam Mendes"
"2000","Traffic","Steven Soderbergh"
"2001","A Beautiful Mind","Ron Howard"
"2002","The Pianist","Roman Polanski"
"2003","The Lord of the Rings: The Return of the King","Peter Jackson"
"2004","Million Dollar Baby","Clint Eastwood"
"2005","Brokeback Mountain","Ang Lee"
"2006","The Departed","Martin Scorsese"
"2007","No Country for Old Men","Joel Coen and Ethan Coen"
"2008","Slumdog Millionaire","Danny Boyle"
"2009","The Hurt Locker","Kathryn Bigelow"
"2010","The King's Speech","Tom Hooper"
"2011","The Artist","Michel Hazanavicius"
"2012","Life of Pi","Ang Lee"
"2013","Gravity","Alfonso Cuarón"
"2014","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu"
"2015","The Revenant","Alejandro G. Iñárritu"
"2016","La La Land","Damien Chazelle"
"2017","The Shape of Water","Guillermo del Toro"
"2018","Roma","Alfonso Cuarón"
"2019","Parasite","Bong Joon Ho"
"2020","Nomadland","Chloé Zhao"
"2021","The Power of the Dog","Jane Campion"
"2022","Everything Everywhere All at Once","Daniel Kwan and Daniel Scheinert"
